startphrase,ending1,ending2,correct_label
The girl was as down-to-earth as eggs and potatoes,The girl was not down-to-earth at all.,The girl was very down-to-earth.,1
The girl's room was as messy as a housekeeper,The girl's room was a total mess.,The girl's room was very clean.,1
The view as as clear as day,The view was very clear.,The view as obstructed and not clear.,0
World peace is a family dinner where no one fights,World peace is an unattainable ideal,"World peace is a good, if unexpected, thing",1
Her greeting had the warmth of a snuffed out candle.,Her greeting was affectionate and genuine.,Her greeting was indifferent and fake.,1
The test was like a litigation.,The test was hard.,The test was easy.,0
He's as rich as MC Hammer in the '90s,He has a lot of money,He does not have a lot of money,1
The conversation has me feeling like I just ate the whole Thanksgiving turkey,The conversation is intense,The conversation is boring,1
The football player's effort was a tortoise,The football player put forth a ton of effort.,The football player put forth no effort.,1
The cat was as healthy as a cancer patient,the cat was in good shape,the cat was in bad shape,1
Her waist has the width of a toothpick,Her waist is really skinny.,Her waist is really wide.,0
The soccer player passed the ball to his teammate like a magician pulling a rabbit out of a hat.,The pass was surprising,The pass was very fast and direct,0
The girl's dress pattern was as uniform as a potluck,The girl's dress pattern was highly varied.,The girl's dress pattern was highly uniform.,0
The illusion has the convincibility of walking into a house and not seeing a ghost,The illusion is quite convincing,The illusion is not convincing at all,0
The dog has the snores of a mouse hiding from a house cat,The dog snores loudly,The dog hardly makes a sound,1
He has the attitude of the Grinch at Halloween,He has a bad attitude,He's got a good attitude,1
The podcast had the speed of A clogged drain,It was slow,It was fast,0
The groom was feeling like a raindrop on a grave,The groom was happy.,The groom was sad.,1
When the morning is tough sip your hot coffee and watch the news,do not let one bad thing ruin your whole day,look at the world others are having a much rougher day.,1
The butler's posture was that of a weeping willow.,The butler had poor posture.,The butler had good posture,0
The music was as loud as a bumblebee,The music was loud,The music was quiet and soft,1
The city was as big as a island.,The city was very big.,The city was very small.,1
The dog barked like a cricket.,The dog barked loudly.,The dog barked quietly.,1
The pills have the chalkiness of a sidewalk a dozen kids have drawn on,The pills are very chalky,The pills aren't at all chalky,0
The jumper leaped as high as a grasshopper,The jumper jumped high.,The jumper didn't jump high.,0
The movie was as scary as a lamb,The movie was scary,The movie was not scary.,1
The problem was small as a pea.,The problem was small.,The problem was big.,0
Life is a God's will,It is a learning experience,It is predisposed,1
The girl has the gracefulness of butterfly,The girl doesn't have any grace.,The girl is very graceful.,1
