x_1,x_2,y_1,y_2,P(x_1),P(x_2),P(y_1),P(y_2),"P(x_1, y_1)","P(x_1, y_2)","P(x_2, y_1)","P(x_2, y_2)",P(y_1|x_1),P(y_2|x_2),P(x_1|y_1),P(x_2|y_2)
He should be back before more sunlight reaches us,He should be back before the sun implodes,He will be back quickly,He will be back slowly,0.007596701626273845,0.02032644485283021,0.03393863892781039,0.0238734183221463,0.031203051642886743,0.03127285898954813,0.047624765905561604,0.04775584211714561,0.4994413258970158,0.5006871219124164,0.3958380761170895,0.6042847908214031
Her commitment to the cause was as sturdy as oak,Her commitment to the cause was as sturdy as plywood,She was committed,She was uncommitted,0.030774668892797303,0.033817812244919046,0.0044169049118316745,0.0038471252564738433,0.0466277960678445,0.03504619307769834,0.0476388931589757,0.0354391828750903,0.5709014161749084,0.4265768367163261,0.4946370393432491,0.5027877399537117
The crowd's reaction to the performance fizzled like fireworks,The crowd's reaction to the performance fizzled like flat soda,The crowd was enthusiastic,The crowd was unenthusiastic,0.028792356383141714,0.015606838418526222,0.01934688589167658,0.07861710973219206,0.04760358288021302,0.07062102731807508,0.03221732274812737,0.049697043457088606,0.402653752043433,0.6066950860925309,0.5963798895224685,0.4130472100899675
The pilot flew like a ballet dancer,The pilot flew like a modern dancer,The pilot flew in a restrained way,The pilot flew in a creative way,0.02657180958701971,0.00896941431880003,0.006152102065479406,0.005304068149294587,0.0474861689839808,0.04920011013541574,0.03393044312467059,0.034961644002020134,0.4911365854232615,0.5074841750363375,0.5832491398759011,0.4154101154418417
He had the air of a cult leader,He had the air of a church leader,People were intimidated by him,People were not intimidated by him,0.08481599874326894,0.05210478304062676,0.022189993978463968,0.027296072043379294,0.057734749198905394,0.0545207732919137,0.042479928178711594,0.04322078713339857,0.5143154467400681,0.5043223615578287,0.5761107126190328,0.44219456846532623
The venture was charting new waters,The venture was blown out to sea,The venture was innovative,The venture was unsuccessful,0.008109247559143279,0.0066029366384329985,0.0044788045706455485,0.007087795805072322,0.03395422693208338,0.03253743463791834,0.02682974999441164,0.03710690431164794,0.5106539095332537,0.580369816256262,0.5586048930813399,0.5328057509242684
She was as bright as diamond,She was as bright as obsidian,She was intelligent,She was unintelligent,0.09203226433947155,0.08445816413483329,0.013778655457952378,0.013016028555253722,0.08610820436748219,0.08883682766259383,0.0783979261827555,0.08952639006614292,0.49220148390769236,0.5331353556529977,0.5234346226457868,0.5019330286040191
Vanity is the quicksand of reason,Vanity is the tailwind of reason,Vanity destroys reason,Vanity motivates reason,0.018009580275057908,0.00905611817080878,0.0003910099936425499,0.0003027263911307369,0.04538351679376095,0.037201120148726625,0.035852329703981625,0.0326900796292034,0.5495394600495284,0.47693216429403207,0.5586636780478689,0.4677281221823602
The movie has the depth of the ocean,The movie has the depth of a wading pool,The movie is profound,The movie is vapid,0.03422631016016552,0.03764206721049963,0.006437145821654659,0.012089198106354455,0.07451702847098866,0.06433960705554292,0.06793420198655156,0.06173504455146638,0.5366472274690146,0.4760962695450396,0.5231055444845709,0.4896705544259789
Even a monkey falls from a tree sometimes,Even a monkey writes a sonnet sometimes,Experts can fail sometimes,Novices can succeed sometimes,0.015460056479229043,0.0033020036056604397,0.004559094731842398,0.00270313144589114,0.016921759036126485,0.0188803815297751,0.007719990493938943,0.009096328443033768,0.4726465727650649,0.5409226880821337,0.686710942154502,0.32513931952236963
