startphrase,ending1,ending2,labels,valid,qid
Her word had the strength of titanium.,Her promises can be believed.,Her promises cannot be trusted.,0,1,10
Her word had the strength of a wine glass.,Her promises can be believed.,Her promises cannot be trusted.,1,1,10
His kisses have the passion of lovers meeting after a long separation.,His kisses are demonstrative and intense.,His kiss is unemotional.,0,1,11
His kisses have the passion of a couple in a loveless marriage.,His kisses are demonstrative and intense.,His kiss is unemotional.,1,1,11
This winter is as cold as my mother-in-law towards me,It's very cold,It's pretty warm,0,1,14
This winter is as cold as Death Valley at noon,It's very cold,It's pretty warm,1,1,14
The dog was as grumpy as an old man,he was mean,he was nice,0,1,22
The dog was as grumpy as a kindergarten teacher,he was mean,he was nice,1,1,22
The voyage was as long as a lifetime,The voyage was very long,The voyage as short.,0,1,24
The voyage was as long as the blink of an eye,The voyage was very long,The voyage as short.,1,1,24
He had all the wealth of a tycoon,He was rich.,He was poor.,0,1,26
He had all the wealth of a hobo,He was rich.,He was poor.,1,1,26
It smells like a freshly baked cookies on Christmas morning,It smells great,It smells awful,0,1,31
It smells like a cesspool sitting in the hot sun,It smells great,It smells awful,1,1,31
The conversation is a bank vault,The conversation is worthwhile.,The conversation is meaningless.,0,1,33
The conversation is a 25 cent off coupon,The conversation is worthwhile.,The conversation is meaningless.,1,1,33
The motivational push was a bulldozer,The motivational push was very motivating.,The motivational push didn't work well.,0,1,34
The motivational push was a light breeze,The motivational push was very motivating.,The motivational push didn't work well.,1,1,34
Money is a helpful stranger,Money is good,Money is bad,0,1,36
Money is a murderer,Money is good,Money is bad,1,1,36
The conversation was the OJ Simpson trial,The conversation was long,The conversation was short,0,1,37
The conversation was a cigarette break,The conversation was long,The conversation was short,1,1,37
The seas on the voyage were glass,The seas were calm,The seas were rough,0,1,38
The seas on the voyage were a rock quarry,The seas were calm,The seas were rough,1,1,38
The student was as helpful as medicine,he was a big help,he was not needed,0,1,40
The student was as helpful as a punch in the face,he was a big help,he was not needed,1,1,40
Their relationship has the heat of Miami in August,Their relationship is passionate,Their relationship is lacking passion.,0,1,42
Their relationship has the heat of an igloo.,Their relationship is passionate,Their relationship is lacking passion.,1,1,42
The voyage will be a walk through fire.,The voyage will be difficult and arduous.,The voyage will be pleasant.,0,1,46
The voyage will be a walk through flowers.,The voyage will be difficult and arduous.,The voyage will be pleasant.,1,1,46
"For him, earning money was oxygen.",Making money kept him alive.,Making money was killing him.,0,1,47
"For him, earning money was a rope around his neck.",Making money kept him alive.,Making money was killing him.,1,1,47
The speaker was as quiet as a newborn baby.,The speaker was very quiet.,The speaker was actually rather loud.,0,1,49
The speaker was as quiet as a freight train.,The speaker was very quiet.,The speaker was actually rather loud.,1,1,49
The man was as cool as ice,The man was very cool.,The man wasn't cool at all.,0,1,50
The man was as cool as sunburn,The man was very cool.,The man wasn't cool at all.,1,1,50
The wedding planner was an imposter.,The wedding planner did a horrible job planning the wedding.,The wedding planner did wonderfully planning the wedding.,0,1,51
The wedding planner was a magician.,The wedding planner did a horrible job planning the wedding.,The wedding planner did wonderfully planning the wedding.,1,1,51
The dancer moved like a butterfly,the dancer is graceful,The dancer is lead footed,0,1,54
The dancer moved like a horse.,the dancer is graceful,The dancer is lead footed,1,1,54
the pizza tastes like homemade,it's delicious,it's garbage,0,1,56
the pizza tastes like yesterdays leftovers,it's delicious,it's garbage,1,1,56
The painting had the creativity of a bowl of oatmeal,The movie was really dull.,The movie was really creative.,0,1,61
The painting had the creativity of a James Cameron movie,The movie was really dull.,The movie was really creative.,1,1,61
The child was as religious as a priest,The child was very religious,The child was not religious,0,1,63
The child was as religious as a sinner,The child was very religious,The child was not religious,1,1,63
The woman was as kind as a teacher,The woman was kind,The woman was cruel,0,1,64
The woman was as kind as a prisoner,The woman was kind,The woman was cruel,1,1,64
The test is as easy as a Sunday  morning,the test is easy,the test is hard,0,1,70
The test is as easy as rocket science,the test is easy,the test is hard,1,1,70
She is happy as a clam,she is elated,she is mad,0,1,71
She is happy as a bear that stepped on a thorn,she is elated,she is mad,1,1,71
The employee is sharp as a razor,The employee is smart.,The employee is dumb.,0,1,74
The employee is sharp as a bowling ball,The employee is smart.,The employee is dumb.,1,1,74
The tourist thought the bed at the hotel felt like velvet,The bed was soft.,The bed was hard.,0,1,76
The tourist thought the bed at the hotel felt like marble,The bed was soft.,The bed was hard.,1,1,76
When the rubber hits the road. life gets real,things get intense,things get worse,0,1,77
When the rubber hits the road. things go  down hill,things get intense,things get worse,1,1,77
The pianist's performance was a game of whack-a-mole.,The pianist's performance was sloppy.,The pianist's performance was meticulous.,0,1,79
The pianist's performance was the weaving of an ornate Persian carpet.,The pianist's performance was sloppy.,The pianist's performance was meticulous.,1,1,79
The girl's personality was as sweet as a grapefruit,The girl had a very surly personality.,The girl had a sweet personality.,0,1,82
The girl's personality was as sweet as a donut,The girl had a very surly personality.,The girl had a sweet personality.,1,1,82
The movie had as much meaning as a Hallmark card,The movie's meaning was frivolous.,The movie was laden with meaning.,0,1,83
The movie had as much meaning as the Bible,The movie's meaning was frivolous.,The movie was laden with meaning.,1,1,83
The jazz solo sounded as smooth as silk,The jazz solo sounded nice and smooth,The jazz solo sounded rough and bad,0,1,85
The jazz solo sounded as smooth as sandpaper,The jazz solo sounded nice and smooth,The jazz solo sounded rough and bad,1,1,85
Her hangover made her feel like death,Her hangover made her feel terrible.,Her hangover didn't hurt her at all.,0,1,87
Her hangover made her feel like a sunrise,Her hangover made her feel terrible.,Her hangover didn't hurt her at all.,1,1,87
The room was as open as a farm.,The room was very open.,The room wasn't open at all.,0,1,89
The room was as open as a city.,The room was very open.,The room wasn't open at all.,1,1,89
His joints have the crackle of a bowl of Rice Krispies,His joints are quite crackly,His joints do not crackle,0,1,92
His joints have the crackle of a pre-popped roll of bubble wrap,His joints are quite crackly,His joints do not crackle,1,1,92
The lightbulb is putting out the light of a massive forest fire on a dark night,The lightbulb is putting out a lot of light,The lightbulb is putting out no light,0,1,93
The lightbulb is putting out the light of a massive black hole in the darkness of space,The lightbulb is putting out a lot of light,The lightbulb is putting out no light,1,1,93
The thrift store had the variety of a monochrome print.,The thrift store had a limited selection.,The thrift store had a varied selection.,0,1,95
The thrift store had the variety of a dazzling tapestry.,The thrift store had a limited selection.,The thrift store had a varied selection.,1,1,95
The doctor was a Norse villain.,The doctor was mean.,The doctor was kind and charming.,0,1,96
The doctor was a fairytale prince.,The doctor was mean.,The doctor was kind and charming.,1,1,96
The sound of the glass shattering was like Hiroshima,The sound was loud,The sound was quiet,0,1,98
The sound of the glass shattering was like a lullaby,The sound was loud,The sound was quiet,1,1,98
She was a bear at dinner,She ate a lot,She ate very little,0,1,99
She was a mouse at dinner,She ate a lot,She ate very little,1,1,99
The armor was tough as iron,The armor was tough,The armor was breakable and weak,0,1,100
The armor was tough as glass,The armor was tough,The armor was breakable and weak,1,1,100
The toy was cared for like a baby,The toy was taken good care of,The toy was not cared for well at all.,0,1,102
The toy was cared for like trash,The toy was taken good care of,The toy was not cared for well at all.,1,1,102
The lawyer's negotiation tactics were like steel,The lawyer's negotiation tactics were tough.,The lawyer's negotiation tactics were lenient.,0,1,103
The lawyer's negotiation tactics were like a fuzzy bathrobe,The lawyer's negotiation tactics were tough.,The lawyer's negotiation tactics were lenient.,1,1,103
The plastic plate shattered and looked like A spiderweb,It shattered into a lot of pieces.,It only shattered into 2 pieces.,0,1,106
The plastic plate shattered and looked like A half moon,It shattered into a lot of pieces.,It only shattered into 2 pieces.,1,1,106
The apartment was as high up as The empire State building observation deck.,The apartment was on the high floor.,The apartment was only a few floors up,0,1,107
The apartment was as high up as A treehouse in the backyard,The apartment was on the high floor.,The apartment was only a few floors up,1,1,107
The man had the features of a Greek god,The man was very attractive,The man was goofy and ugly,0,1,110
The man had the features of a clown,The man was very attractive,The man was goofy and ugly,1,1,110
The pug was wheezing in dog form.,The dog is tired and has trouble breathing.,The dog has a ton of energy.,0,1,112
The pug was lightning in dog form.,The dog is tired and has trouble breathing.,The dog has a ton of energy.,1,1,112
That movie has the humor of a nun.,The movie is not funny.,The movie is very funny.,0,1,113
That movie has the humor of a clown bus.,The movie is not funny.,The movie is very funny.,1,1,113
