startphrase,ending1,ending2,labels,valid
You are my sunshine,daylight,warmth,0,0
You are my love,daylight,warmth,1,0
Virendra has a soft heart,kind hearted,melodius,0,0
Virendra has a sweet voice,kind hearted,melodius,1,0
A story with good moral,the story has principles and morals,the story is cheerful,0,0
A story with full of joy,the story has principles and morals,the story is cheerful,1,0
A story with good moral,the story has principles,the story is cheerful,0,0
A story with full of joy,the story has principles,the story is cheerful,1,0
shahith has a heart of gold,kind hearted,melodious,0,0
shahith has a sweet voice,kind hearted,melodious,1,0
she is my sunshine,daylight,warmth,0,0
she is my love,daylight,warmth,1,0
A story with good moral,the story has principles,the story is cheerful,0,0
A story with full of joy,the story has principles,the story is cheerful,1,0
You are my sunshine,daylight,warmth,0,0
You are my love,daylight,warmth,1,0
Alia has a good heart,kind hearted,melodius,0,0
Alia has a sweet voice,kind hearted,melodius,1,0
The cheat code is as long as A subatomic particle,The cheat code is short,The cheat code is very long,0,1
The cheat code is as long as A nautical light year,The cheat code is short,The cheat code is very long,1,1
A night the town is as dark as The surface of the sun,The town is well-lit at night,The town is very dark at night,0,1
A night the town is as dark as A black hole,The town is well-lit at night,The town is very dark at night,1,1
The digest contained the detail of A kindergartener's primer,The digest's contents is simple,The digest was very detailed,0,1
The digest contained the detail of Tolstoy's War and Peace,The digest's contents is simple,The digest was very detailed,1,1
The news was as hard to digest as a wet cracker,The news was easy to understand,The news was hard to understand,0,1
The news was as hard to digest as a bowl filled with diamonds and stones,The news was easy to understand,The news was hard to understand,1,1
"He was able to lie as well as Ricky Gervais' character in ""The Invention of Lying""",He was a good liar,He was a poor liar,0,1
"He was able to lie as well as Ricky Gervais' character in ""The Office""""",He was a good liar,He was a poor liar,1,1
He had as many skeletons in his closet as as there were kids trapped in '50s refrigerators,He has a lot of skeletons in his closet,He has few skeletons in his closet,0,1
He had as many skeletons in his closet as as America has impeached its presidents,He has a lot of skeletons in his closet,He has few skeletons in his closet,1,1
night dinner is good night dinner is good,night dinner is good,night dinner is good,0,0
night dinner is good night dinner is good,night dinner is good,night dinner is good,1,0
He has the cleanliness of a fly.,He is not a clean person.,He is a very clean person.,0,1
He has the cleanliness of a shiny mirror,He is not a clean person.,He is a very clean person.,1,1
His eye contact was like that of a yoyo.,He had terrible eye contact.,He had great eye contact.,0,1
His eye contact was like that of a laser.,He had terrible eye contact.,He had great eye contact.,1,1
His voice is like a ballad.,His voice is very calm and soothing.,His voice is very loud.,0,1
His voice is like a train.,His voice is very calm and soothing.,His voice is very loud.,1,1
He cheated as much as Jesus and the twelve apostles,He did not cheat,He cheated a lot,0,1
He cheated as much as Al Capone,He did not cheat,He cheated a lot,1,1
The night was as dark as ink,The night was dark,The night was not  dark,0,1
The night was as dark as a super nova,The night was dark,The night was not  dark,1,1
The food can be digested as easily as melba toast,The food can be digested easily,The food can not be digested easily,0,1
The food can be digested as easily as a piece of granite,The food can be digested easily,The food can not be digested easily,1,1
Cheating on her diet made the woman feel like A kid hiding candy under their pillow,The cheating was no big deal,The cheating was really serious,0,1
Cheating on her diet made the woman feel like A kid stealing money out of their mother's purse,The cheating was no big deal,The cheating was really serious,1,1
The night was so dark it reminded her of Swirling pitch black coffee,The dark night was bearable,The dark night was terrifying,0,1
The night was so dark it reminded her of Gore in a horror movie,The dark night was bearable,The dark night was terrifying,1,1
Digesting the turkey was as easy as Finishing an entire cheesecake yourself,It was tough to digest a turkey,Digesting the turkey was easy,0,1
Digesting the turkey was as easy as Eating a handful of baby carrots,It was tough to digest a turkey,Digesting the turkey was easy,1,1
Mary's voice is music to my ears,Mary is a good singer,Mary does not know how to sing,0,1
Mary's voice is like a screeching owl,Mary is a good singer,Mary does not know how to sing,1,1
Benjamin has a heart of gold,Benjamin is kind.,Benjamin is bitter.,0,1
Benjamin has a heart of stone,Benjamin is kind.,Benjamin is bitter.,1,1
He is as cute as a button,He is adorable,he is ugly,0,1
He is as cute as a clown,He is adorable,he is ugly,1,1
The story possessed the sophistication of A first grade primer,The story is very simple and unsophisticated,The story is detailed and sophisticated,0,1
The story possessed the sophistication of A writing by Tolstoy,The story is very simple and unsophisticated,The story is detailed and sophisticated,1,1
The illness had the seriousness of A small kid with the sniffles,The illness is not serious,The illness is deadly and serious,0,1
The illness had the seriousness of A king with the bubonic plague,The illness is not serious,The illness is deadly and serious,1,1
The sun in the newly discovered solar system had the power of A 2 watt light bulb,The sun in the newly discovered solar system is weak,The sun in the newly discovered solar system is powerful and bright,0,1
The sun in the newly discovered solar system had the power of A thousand stars going supernova,The sun in the newly discovered solar system is weak,The sun in the newly discovered solar system is powerful and bright,1,1
The waterway was as wide as the ocean,The waterway was really wide,The waterway was really narrow,0,1
The waterway was as wide as a string,The waterway was really wide,The waterway was really narrow,1,1
The pencil was as yellow as a squash,The pencil was very yellow,The pencil was not very yellow,0,1
The pencil was as yellow as a cow,The pencil was very yellow,The pencil was not very yellow,1,1
The scissors were as sharp as a knife,The scissors were really sharp,The scissors were really dull,0,1
The scissors were as sharp as a spoon,The scissors were really sharp,The scissors were really dull,1,1
The story made as much sense as Hansel and Gretel forgoing the gingerbread and baking the witch for dinner.,The story made no sense.,The story made obvious sense.,0,1
The story made as much sense as diarrhea with dysentery.,The story made no sense.,The story made obvious sense.,1,1
The reasoning leadership uses to make decisions is like the meaning of life.,The reasoning leadership uses to make decisions is unclear.,The reasoning leadership uses to make decisions is obvious.,0,1
The reasoning leadership uses to make decisions is like the instructions that come with a toaster.,The reasoning leadership uses to make decisions is unclear.,The reasoning leadership uses to make decisions is obvious.,1,1
